global_index,file_name,chunk_index,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R)
18,D403__S2__M02_00_000,3,0.48148331526822213,0.48148331526822213,0.30307597450336216,0.3030759745033621,1.1337549686431885,1.1337549686431885,1.9092772006988525,1.9092772006988525,-0.31868046140289896,-0.31868046140289896,5.644399214059688,5.644399214059688,-30.009917028779757,-30.009917028779757,-0.014593352431663115,-0.014593352431663115,0.015557412047760316,0.015557412047760316,-4.284752508375328,-4.284752508375328
20,D403__S2__M03_00_000,1,0.30116629485535507,0.30116629485535507,0.19748706559918347,0.19748706559918328,1.0449728965759277,1.0449728965759277,0.6184594035148621,0.6184594035148621,-0.4623764725893884,-0.4623764725893884,4.746319226854852,4.746319226854852,-25.616231055562327,-25.616231055562327,-0.01610765368249407,-0.01610765368249407,0.04746186926340755,0.04746186926340755,-6.856576929272999,-6.856576929272999
21,D403__S2__M03_00_000,2,0.499659768970107,0.499659768970107,0.3306637045864429,0.3306637045864429,1.1338529586791992,1.1338529586791992,1.9391249418258667,1.9391249418258667,-0.2728485776401373,-0.2728485776401373,6.562480142714853,6.562480142714853,-35.84697747383931,-35.84697747383931,-0.020443033259842928,-0.020443033259842928,0.00157173900601866,0.00157173900601866,-3.1948103982733493,-3.1948103982733493
35,D403__S2__M06_00_000,5,0.4088363979197719,0.4088363979197719,0.2590576547745664,0.2590576547745664,1.0832220315933228,1.0832220315933228,1.3816895484924316,1.3816895484924316,-0.3508068764061535,-0.3508068764061535,6.4231212502140975,6.4231212502140975,-37.55336046429673,-37.55336046429673,-0.0438569742621192,-0.0438569742621192,0.0059960154066561,0.0059960154066561,-8.404398634303,-8.404398634303
37,D403__S2__M06_00_000,7,0.4322712576660935,0.4322712576660935,0.30429839694991306,0.30429839694991395,1.0448722839355469,1.0448722839355469,1.4715040922164917,1.4715040922164917,-0.32186042245662283,-0.32186042245662283,7.670939252901628,7.670939252901628,-24.168910073804895,-24.168910073804895,0.0011774963758738094,0.0011774963758738094,0.05388927990018351,0.05388927990018351,-6.580415478031628,-6.580415478031628
56,D403__S2__M08_00_000,3,0.3544531232701344,0.3544531232701344,0.24850772210832123,0.24850772210832126,1.0883216857910156,1.0883216857910156,1.6663856506347656,1.6663856506347656,-1.1732409121235137,-1.1732409121235137,6.434457465636501,6.434457465636501,-36.84497644037303,-36.84497644037303,-0.3324833908585359,-0.3324833908585359,0.030557578352352996,0.030557578352352996,-17.544310135123105,-17.544310135123105
70,D403__S2__M08_00_000,17,0.3881203422307411,0.3881203422307411,0.2313412771031797,0.23134127710317992,1.196823239326477,1.196823239326477,1.9265514612197876,1.9265514612197876,-0.3398430341294206,-0.3398430341294206,7.481751409864047,7.481751409864047,-64.63909921098492,-64.63909921098492,-0.11279164118445931,-0.11279164118445931,-0.02050044812007934,-0.02050044812007934,-6.418698795269952,-6.418698795269952
101,D403__S2__M09_00_000,12,0.32018691419852646,0.32018691419852646,0.17509969512586468,0.1750996951258647,1.033138632774353,1.033138632774353,0.30224964022636414,0.30224964022636414,-1.2155591142986097,-1.2155591142986097,7.260834554936615,7.260834554936615,-42.84480796042334,-42.84480796042334,-0.33513010163765056,-0.33513010163765056,0.008688699707703263,0.008688699707703263,-15.747267142244269,-15.747267142244269
107,D403__S2__M09_00_000,18,0.3503837781525344,0.3503837781525344,0.1591574065518838,0.1591574065518839,1.0452566146850586,1.0452566146850586,-0.021443365141749382,-0.021443365141749382,-1.7483720830506166,-1.7483720830506166,8.25540597031446,8.25540597031446,-21.679895482091027,-21.679895482091027,-0.47881634737383094,-0.47881634737383094,0.28714951388599075,0.28714951388599075,-13.99438888480866,-13.99438888480866
124,D403__S2__M10_00_000,6,0.45775804541089565,0.45775804541089565,0.28385002222178907,0.28385002222178896,1.1470439434051514,1.1470439434051514,1.9626038074493408,1.9626038074493408,-0.24182307238184764,-0.24182307238184764,6.261193998323716,6.261193998323716,-21.605666458606095,-21.605666458606095,0.02690361200360293,0.02690361200360293,0.06966025467103994,0.06966025467103994,-6.555820768646223,-6.555820768646223
